CF,INDEX_NAME,INDEX_TYPE,INDEX_FLAGS,INDEX_NUMBER,TABLE_SCHEMA,TTL_DURATION,TABLE_NAME,COLUMN_FAMILY,PARTITION_NAME,AUTO_INCREMENT,KV_FORMAT_VERSION
default,IP,2,0,563,u630488361_ccms,0,wp_wfsnipcache,0,NULL,25,13
default,type,2,0,564,u630488361_ccms,0,wp_wfsnipcache,0,NULL,25,13
default,PRIMARY,1,0,559,u630488361_ccms,0,wp_wfreversecache,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,610,u319662425_user,0,proxies_priv,0,NULL,NULL,13
default,PRIMARY,1,0,557,u630488361_ccms,0,wp_wfnotifications,0,NULL,NULL,13
default,PRIMARY,1,0,555,u630488361_ccms,0,wp_wfnet404s,0,NULL,NULL,13
default,k1,2,0,556,u630488361_ccms,0,wp_wfnet404s,0,NULL,NULL,13
default,PRIMARY,1,0,385,u517458995_dkgmobile,0,wpw2_woocommerce_payment_tokenmeta,0,NULL,NULL,13
default,payment_token_id,2,0,386,u517458995_dkgmobile,0,wpw2_woocommerce_payment_tokenmeta,0,NULL,NULL,13
default,meta_key,2,0,387,u517458995_dkgmobile,0,wpw2_woocommerce_payment_tokenmeta,0,NULL,NULL,13
default,PRIMARY,1,0,560,u630488361_ccms,0,wp_wfscanners,0,NULL,NULL,13
default,PRIMARY,1,0,409,u517458995_dkgmobile,0,wpw2_yith_wcwl_lists,0,NULL,16389,13
default,wishlist_token,2,0,410,u517458995_dkgmobile,0,wpw2_yith_wcwl_lists,0,NULL,16389,13
default,wishlist_slug,2,0,411,u517458995_dkgmobile,0,wpw2_yith_wcwl_lists,0,NULL,16389,13
default,HIDDEN_PK_ID,3,0,617,u319662425_user,0,time_zone_name,0,NULL,NULL,13
default,PRIMARY,1,0,371,u517458995_dkgmobile,0,wpw2_woocommerce_attribute_taxonomies,0,NULL,NULL,13
default,attribute_name,2,0,372,u517458995_dkgmobile,0,wpw2_woocommerce_attribute_taxonomies,0,NULL,NULL,13
default,HIDDEN_PK_ID,3,0,365,u517458995_dkgmobile,0,wpw2_wfhoover,0,NULL,NULL,13
default,PRIMARY,1,0,347,u517458995_dkgmobile,0,wpw2_wc_product_attributes_lookup,0,NULL,NULL,13
default,is_variation_attribute_term_id,2,0,348,u517458995_dkgmobile,0,wpw2_wc_product_attributes_lookup,0,NULL,NULL,13
default,PRIMARY,1,0,326,u517458995_dkgmobile,0,wpw2_wc_customer_lookup,0,NULL,NULL,13
default,user_id,2,0,327,u517458995_dkgmobile,0,wpw2_wc_customer_lookup,0,NULL,NULL,13
default,email,2,0,328,u517458995_dkgmobile,0,wpw2_wc_customer_lookup,0,NULL,NULL,13
default,PRIMARY,1,0,260,u517458995_dkgmobile,0,wpw2_commentmeta,0,NULL,NULL,13
default,comment_id,2,0,261,u517458995_dkgmobile,0,wpw2_commentmeta,0,NULL,NULL,13
default,meta_key,2,0,262,u517458995_dkgmobile,0,wpw2_commentmeta,0,NULL,NULL,13
